"Name","Classification","Homepage","SocialMedia","Locality","Lat","Lng","Address","Country","Description","SupportRequest","SupportOffer","Hotline","Tags","Notes","ListingSource","ListingSourceId","ListingSourceUpdated"
"Linn County, IA Coronavirus support, swap, resources group","FacebookMutualAid","https://www.facebook.com/groups/881359378990113/","https://www.facebook.com/groups/881359378990113/","Cedar Rapids, IA",41.9759,-91.6704,"Cedar Rapids, Iowa, United States","USA","","","","","","","mutualaidhub.org","748",
"Six Feet Supplies SCV","","https://www.sixfeetsupplies.com/","","Valencia, CA",34.4436,-118.6095,"Valencia, California, United States","USA","","","","","","","mutualaidhub.org","749",
"Troy Mutual Aid Society 2020","FacebookMutualAid","https://www.facebook.com/groups/220879635954876/","https://www.facebook.com/groups/220879635954876/","Troy, NY",42.7284,-73.6918,"Troy, New York, USA","USA","","","","","","","mutualaidhub.org","750",
"Project Pasadena","","http://contact88536.wixsite.com/projectpasadena","https://www.facebook.com/ProjectPasadena/","Pasadena, CA",34.1476,-118.1445,"Pasadena, California, United States","USA","","https://www.projectpasadena.com/forum","https://www.projectpasadena.com/forum","","","","mutualaidhub.org","751",
"Hallowell All Age-Friendly Committee","","http://age-friendly-hallowell.org","","Hallowell, ME",44.2859,-69.7909,"Hallowell, Maine, USA","USA","","","","","","","mutualaidhub.org","752",
"El Cerrito Mutual Aid Network","","https://docs.google.com/forms/d/e/1FAIpQLSf7xkSIiHpuq6lKG2r6C0-FnhpZH4JNe1xxsckDXLxu3eHJSQ/viewform","","El Cerrito, CA",37.9154,-122.3014,"El Cerrito, California, United States","USA","","https://docs.google.com/forms/d/e/1FAIpQLSf7xkSIiHpuq6lKG2r6C0-FnhpZH4JNe1xxsckDXLxu3eHJSQ/viewform","https://docs.google.com/forms/d/e/1FAIpQLSf7xkSIiHpuq6lKG2r6C0-FnhpZH4JNe1xxsckDXLxu3eHJSQ/viewform","","","","mutualaidhub.org","753",
"Mutual Aid East Boston / Grupo de Apoyo Mutuo East Boston y Chelsea","","http://whatsupeastie.com/mutualaideastie","","East Boston, MA",42.375,-71.03972,"East Boston, Massachusetts, USA","USA","","","","","","","mutualaidhub.org","754",
"Whatcom Mutual Aid","FacebookMutualAid","https://www.facebook.com/groups/2466079660320179/?ref=br_rs","https://www.facebook.com/groups/2466079660320179/?ref=br_rs","Bellingham, WA",48.7544,-122.4789,"Bellingham, Washington, USA","USA","","","","","","","mutualaidhub.org","755",
"South Brooklyn Community - COVID-19 Neighborhood Volunteers","","https://docs.google.com/spreadsheets/d/1RduJEBqZFa9jXgDZskga06cH52mDR87yoNdXIajLOsU/edit?ts=5e6bbc0a#gid=1419997113","","South Brooklyn, New York City, NY",40.7648,-73.9808,"New York City, New York, United States","USA","","","","","","","mutualaidhub.org","756",
"Michigan / Kalamazoo: Kzoo Covid-19 Mutual Aid List","","https://docs.google.com/forms/d/e/1FAIpQLSeW-Dmt_Z_QPu81ad0jo5gs4vjx2zREupOmdoLnn2JBntapGg/viewform","https://www.facebook.com/groups/225779971877883/?ref=search","Kalamazoo, MI",42.2917,-85.5872,"Kalamazoo, Michigan, USA","USA","","","","","","","mutualaidhub.org","757",
