"Name","Listing Source","Homepage","OfferOrRequestForm","SocialMedia","City","State","Country","Address"
"Mutual Aid East Boston / Grupo de Apoyo Mutuo East Boston y Chelsea","","http://whatsupeastie.com/mutualaideastie","","","East Boston","MA","USA","East Boston, Massachusetts, USA"
"Emmanuel College Mutual Aid Fund","","https://alumni.emmanuel.edu/make-a-gift","https://alumni.emmanuel.edu/make-a-gift","","Boston","MA","USA","Boston, Massachusetts, United States"
"Whatcom Mutual Aid","","https://www.facebook.com/groups/2466079660320179/?ref=br_rs","","https://www.facebook.com/groups/2466079660320179/?ref=br_rs","Bellingham","WA","USA","Bellingham, Washington, USA"
"Michigan / Kalamazoo: Kzoo Covid-19 Mutual Aid List","","https://docs.google.com/forms/d/e/1FAIpQLSeW-Dmt_Z_QPu81ad0jo5gs4vjx2zREupOmdoLnn2JBntapGg/viewform","","https://www.facebook.com/groups/225779971877883/?ref=search","Kalamazoo","MI","USA","Kalamazoo, Michigan, USA"
"Supporting Frederick, Maryland Small Businesses Through Covid-19","","https://www.facebook.com/groups/FrederickCoronaResponse/?ref=br_rs","","https://www.facebook.com/groups/FrederickCoronaResponse/?ref=br_rs","Fredrick","MD","USA","Frederick, Maryland, USA"
"Albuquerque, What do you need?","","https://docs.google.com/forms/d/e/1FAIpQLSeGo_Doo8bczJ1L0F7RKU76eTTUaqqbdljGtVMM1H08_JKqCQ/viewform?fbclid=IwAR3F9-CJ9hkLCbFxZinlGkLkMQoJ61NaWWg_Q36FIBPbyDsSxdesDoxCeWA","","","Albuquerque","NM","USA","Albuquerque, New Mexico, USA"
"HGSU COVID-19 Assistance Request & Volunteer Form","","https://docs.google.com/forms/d/e/1FAIpQLSegRedWMV9Mbz3C-QO1wrthrOv5lgHfV9y-v3EPIBUDzyWS3g/viewform?link_id=0&can_id=1c65141e56529df26d0674ba2adc42dc&source=email-new-covid-19-assistance-request-volunteer-form-and-other-resources&email_referrer=email_747884&email_subject=new-covid-19-assistance-request-volunteer-form-and-other-resources&fbzx=799117970475840452","https://docs.google.com/forms/d/e/1FAIpQLSegRedWMV9Mbz3C-QO1wrthrOv5lgHfV9y-v3EPIBUDzyWS3g/viewform?link_id=0&can_id=1c65141e56529df26d0674ba2adc42dc&source=email-new-covid-19-assistance-request-volunteer-form-and-other-resources&email_referrer=email_747884&email_subject=new-covid-19-assistance-request-volunteer-form-and-other-resources&fbzx=799117970475840452","","Cambridge","MA","USA","Cambridge, Massachusetts, United States"
"Rutland County Mutual Aid","","https://sites.google.com/view/rutvtmutualaid?fbclid=IwAR0DE58yEqe4umAUwOyykjcLR6P7188uL5V7En2LCEH2mFiJeZTQlKNXcIM","https://docs.google.com/forms/d/e/1FAIpQLSfhRQdUOXzUF-VhFgsmlqlDzNW4QMEqMr1ALtEzz_blzO3HGA/viewform","","Rutland","VT","USA","Rutland, Vermont, USA"
"Share The Care - Connecticut","","http://www.facebook.com/sharethecareandlove","","http://www.facebook.com/sharethecareandlove","Ansonia","CT","USA","Ansonia, Connecticut, USA"
"COVID 19 North Country Neighbors Helping Neighbors","","https://www.facebook.com/groups/539812396667366/","","https://www.facebook.com/groups/539812396667366/","Plattsburgh","NY","USA","Plattsburgh, New York, USA"
"Lawrence Mutual Aid Network","","https://www.facebook.com/lfkmutual/","https://airtable.com/shrt5WWjMDOKCLSdV","https://www.facebook.com/lfkmutual/","Lawrence","KS","USA","Lawrence, Kansas, United States"
"Caremongering Detroit","","https://www.facebook.com/groups/caremongeringdetroit/","https://www.facebook.com/groups/caremongeringdetroit/","https://www.facebook.com/groups/caremongeringdetroit/","Detroit","MI","USA","Detroit, Michigan, United States"
"Columbia SC Mutual Aid","","https://www.facebook.com/groups/174031214047287/","https://docs.google.com/forms/d/e/1FAIpQLSd1AN6ebit6-tk1z1_Cq02UUMZUzhPNlWx5J62949ISLz3FIA/viewform?fbclid=IwAR3vUiGl1RMjiBb3U1bfBZ-AqWmwBkTjYF1DxMn_wzO0VUPPjZu_tBsdj68","https://www.facebook.com/groups/174031214047287/","Columbia","SC","USA","Columbia, South Carolina, United States"
"Common Stash: Mutual Aid in So-called Olympia","","https://www.commonstash.org/","","","Olympia","WA","USA","Olympia, Washington, USA"
"HelpAroundTown","","https://www.helparoundtown.com","https://www.helparoundtown.com/jobs","https://www.facebook.com/HelpAroundTown/","Lexington","MA","USA","Lexington, Massachusetts, United States"
"Help Needed in Albuquerque COVID-19","","https://www.facebook.com/groups/247465889623611/?multi_permalinks=247582216278645&notif_id=1584646671177003&notif_t=feedback_reaction_generic","","https://www.facebook.com/groups/247465889623611/?multi_permalinks=247582216278645&notif_id=1584646671177003&notif_t=feedback_reaction_generic","Albuquerque","NM","USA","Albuquerque, New Mexico, USA"
"Okemah Helping Hands","","https://www.facebook.com/groups/1095919797417666/","","https://www.facebook.com/groups/1095919797417666/","Okemah","OK","USA","Okemah, Oklahoma, USA"
"Worcester Covid-19 Mutual Aid","","https://docs.google.com/forms/d/1HBrK1QB1W1ES2G2K6sdA51stmscdKohyC6R3zMXni2I/viewform?ts=5e6f6182&edit_requested=true","https://docs.google.com/forms/d/1HBrK1QB1W1ES2G2K6sdA51stmscdKohyC6R3zMXni2I/viewform?ts=5e6f6182&edit_requested=true","","Worcester","VT","USA","Worcester, Vermont, USA"
"Lynn MA Mutual Aid Disaster Relief","","https://www.facebook.com/groups/242220393479479/","","https://www.facebook.com/groups/242220393479479/","Lynn","MA","USA","Lynn, Massachusetts, USA"
"Covid-19-South Florida-Radical Mutual Aid","","https://www.facebook.com/groups/211545970124496/","","https://www.facebook.com/groups/211545970124496/","Fort Lauderdale","FL","USA","Fort Lauderdale, Florida, United States"
"Boulder Coronavirus Community Coping Crew","","https://www.facebook.com/groups/199467514668513/?ref=share","","https://www.facebook.com/groups/199467514668513/?ref=share","Boulder","CO","USA","Boulder, Colorado, USA"
"Georgia Tech Mutual Aid Group","","https://docs.google.com/document/d/1_bJq94j3p2n-lDoETOH7wzhACjjmgw9l23QpbCa0Cag/edit","","","Atlanta","GA","USA","Atlanta, Georgia, USA"
"COVID-19 Mutual Aid Group Phoenix Metro Area","","https://www.mutualaidphx.com/","","https://www.facebook.com/groups/144504496872461/145065600149684/","Phoenix","AZ","USA","Phoenix, Arizona, USA"
"Mutual Aid of NY Southern Adirondacks","","https://www.facebook.com/groups/1573307162820055/","","https://www.facebook.com/groups/1573307162820055/","Gloversville","NY","USA","Gloversville, New York, United States"
"California / East Bay: East Bay Disabled Folks COVID-19 Support Request Form","","https://docs.google.com/forms/d/e/1FAIpQLSc7LLhYN243k6xFlmQH26lAN9EoRXgEQGrghbqL8Ttc1K8YNA/viewform","https://docs.google.com/forms/d/e/1FAIpQLSc7LLhYN243k6xFlmQH26lAN9EoRXgEQGrghbqL8Ttc1K8YNA/viewform","","Oakland","CA","USA","Oakland, California, United States"
